student_ID,knowledge_id,knowledge_name,mastery,mastery_percentage,question_count,submit_count,correct_count,level
a8eea517e36b20757b2e,m3D1v,知识点m3D1v,0.8173,81.73,12,56,26,good
a8eea517e36b20757b2e,r8S3g,知识点r8S3g,0.7146,71.46,5,39,7,good
a8eea517e36b20757b2e,s8Y2f,知识点s8Y2f,0.6654,66.54,0,0,0,good
a8eea517e36b20757b2e,t5V9e,知识点t5V9e,0.7415,74.15,5,54,22,good
a8eea517e36b20757b2e,y9W5d,知识点y9W5d,0.9154,91.54,9,12,10,good
e89cdaa3f159a0d3f55e,b3C9s,知识点b3C9s,0.5736,57.36,3,65,17,medium
e89cdaa3f159a0d3f55e,g7R2j,知识点g7R2j,0.7552,75.52,5,47,35,good
e89cdaa3f159a0d3f55e,k4W1c,知识点k4W1c,0.6499,64.99,1,10,1,good
e89cdaa3f159a0d3f55e,m3D1v,知识点m3D1v,0.7128,71.28,12,135,59,good
e89cdaa3f159a0d3f55e,r8S3g,知识点r8S3g,0.6706,67.06,5,44,10,good
e89cdaa3f159a0d3f55e,s8Y2f,知识点s8Y2f,0.5541,55.41,1,21,1,medium
e89cdaa3f159a0d3f55e,t5V9e,知识点t5V9e,0.807,80.7,5,35,23,good
e89cdaa3f159a0d3f55e,y9W5d,知识点y9W5d,0.6835,68.35,11,157,71,good
e324cc9cb52a2b3cb9cb,b3C9s,知识点b3C9s,0.8492,84.92,3,7,6,good
e324cc9cb52a2b3cb9cb,g7R2j,知识点g7R2j,0.7952,79.52,5,21,6,good
e324cc9cb52a2b3cb9cb,k4W1c,知识点k4W1c,0.6597,65.97,1,7,1,good
e324cc9cb52a2b3cb9cb,m3D1v,知识点m3D1v,0.7502,75.02,12,67,12,good
e324cc9cb52a2b3cb9cb,r8S3g,知识点r8S3g,0.7649,76.49,5,61,8,good
e324cc9cb52a2b3cb9cb,s8Y2f,知识点s8Y2f,0.6939,69.39,1,8,1,good
e324cc9cb52a2b3cb9cb,t5V9e,知识点t5V9e,0.8247,82.47,5,37,13,good
e324cc9cb52a2b3cb9cb,y9W5d,知识点y9W5d,0.7791,77.91,11,51,11,good
98e10f84d94623f8b39e,b3C9s,知识点b3C9s,0.794,79.4,2,5,2,good
98e10f84d94623f8b39e,g7R2j,知识点g7R2j,0.7141,71.41,5,25,10,good
98e10f84d94623f8b39e,k4W1c,知识点k4W1c,0.5738,57.38,1,7,1,medium
98e10f84d94623f8b39e,m3D1v,知识点m3D1v,0.7848,78.48,12,39,16,good
98e10f84d94623f8b39e,r8S3g,知识点r8S3g,0.7304,73.04,5,13,6,good
98e10f84d94623f8b39e,s8Y2f,知识点s8Y2f,0.9982,99.82,1,1,1,good
98e10f84d94623f8b39e,t5V9e,知识点t5V9e,0.6819,68.19,5,48,22,good
98e10f84d94623f8b39e,y9W5d,知识点y9W5d,0.8275,82.75,11,38,10,good
3c89c7f1db26ae691db8,b3C9s,知识点b3C9s,0.9974,99.74,3,3,3,good
3c89c7f1db26ae691db8,g7R2j,知识点g7R2j,0.9306,93.06,5,9,5,good
3c89c7f1db26ae691db8,k4W1c,知识点k4W1c,0.8352,83.52,1,9,9,good
3c89c7f1db26ae691db8,m3D1v,知识点m3D1v,0.7216,72.16,12,137,59,good
3c89c7f1db26ae691db8,r8S3g,知识点r8S3g,0.7042,70.42,5,24,8,good
3c89c7f1db26ae691db8,s8Y2f,知识点s8Y2f,0.9957,99.57,1,2,2,good
3c89c7f1db26ae691db8,t5V9e,知识点t5V9e,0.6301,63.01,5,58,12,good
3c89c7f1db26ae691db8,y9W5d,知识点y9W5d,0.8648,86.48,11,34,32,good
9ea29e4a747ea4a7c70a,b3C9s,知识点b3C9s,0.6456,64.56,3,11,8,good
9ea29e4a747ea4a7c70a,g7R2j,知识点g7R2j,0.6872,68.72,5,45,23,good
9ea29e4a747ea4a7c70a,k4W1c,知识点k4W1c,0.7364,73.64,1,4,1,good
9ea29e4a747ea4a7c70a,m3D1v,知识点m3D1v,0.8328,83.28,12,39,29,good
9ea29e4a747ea4a7c70a,r8S3g,知识点r8S3g,0.8039,80.39,5,18,8,good
9ea29e4a747ea4a7c70a,s8Y2f,知识点s8Y2f,0.666,66.6,1,6,2,good
9ea29e4a747ea4a7c70a,t5V9e,知识点t5V9e,0.8191,81.91,5,25,20,good
9ea29e4a747ea4a7c70a,y9W5d,知识点y9W5d,0.7667,76.67,11,44,25,good
e23ada44d3eac9b465d2,b3C9s,知识点b3C9s,0.9978,99.78,3,3,3,good
e23ada44d3eac9b465d2,g7R2j,知识点g7R2j,0.9784,97.84,5,7,7,good
e23ada44d3eac9b465d2,k4W1c,知识点k4W1c,0.8141,81.41,1,2,1,good
e23ada44d3eac9b465d2,m3D1v,知识点m3D1v,0.872,87.2,12,29,21,good
e23ada44d3eac9b465d2,r8S3g,知识点r8S3g,0.7847,78.47,5,15,6,good
e23ada44d3eac9b465d2,s8Y2f,知识点s8Y2f,0.9993,99.93,1,1,1,good
e23ada44d3eac9b465d2,t5V9e,知识点t5V9e,0.9404,94.04,5,7,7,good
e23ada44d3eac9b465d2,y9W5d,知识点y9W5d,0.894,89.4,11,28,21,good
b79c2d9d8148403a3720,b3C9s,知识点b3C9s,0.8346,83.46,3,44,39,good
b79c2d9d8148403a3720,g7R2j,知识点g7R2j,0.7679,76.79,5,38,30,good
b79c2d9d8148403a3720,k4W1c,知识点k4W1c,0.8127,81.27,1,1,1,good
b79c2d9d8148403a3720,m3D1v,知识点m3D1v,0.8341,83.41,12,43,42,good
b79c2d9d8148403a3720,r8S3g,知识点r8S3g,0.7489,74.89,5,34,6,good
b79c2d9d8148403a3720,s8Y2f,知识点s8Y2f,0.7093,70.93,1,20,16,good
b79c2d9d8148403a3720,t5V9e,知识点t5V9e,0.8192,81.92,5,20,17,good
b79c2d9d8148403a3720,y9W5d,知识点y9W5d,0.7903,79.03,11,79,60,good
01d8aa21ef476b66c573,b3C9s,知识点b3C9s,0.8726,87.26,3,6,3,good
01d8aa21ef476b66c573,g7R2j,知识点g7R2j,0.8453,84.53,5,9,5,good
01d8aa21ef476b66c573,k4W1c,知识点k4W1c,0.8964,89.64,1,4,4,good
01d8aa21ef476b66c573,m3D1v,知识点m3D1v,0.8641,86.41,12,32,21,good
01d8aa21ef476b66c573,r8S3g,知识点r8S3g,0.8732,87.32,5,13,8,good
01d8aa21ef476b66c573,s8Y2f,知识点s8Y2f,0.7253,72.53,1,7,4,good
01d8aa21ef476b66c573,t5V9e,知识点t5V9e,0.8952,89.52,5,19,17,good
01d8aa21ef476b66c573,y9W5d,知识点y9W5d,0.7875,78.75,11,58,37,good
9417c1b4c24e428984bc,b3C9s,知识点b3C9s,0.8879,88.79,3,8,3,good
9417c1b4c24e428984bc,g7R2j,知识点g7R2j,0.7465,74.65,5,40,15,good
9417c1b4c24e428984bc,k4W1c,知识点k4W1c,0.5615,56.15,1,9,2,medium
9417c1b4c24e428984bc,m3D1v,知识点m3D1v,0.8058,80.58,12,34,22,good
9417c1b4c24e428984bc,r8S3g,知识点r8S3g,0.7558,75.58,5,20,6,good
9417c1b4c24e428984bc,s8Y2f,知识点s8Y2f,0.6187,61.87,1,4,2,good
9417c1b4c24e428984bc,t5V9e,知识点t5V9e,0.711,71.1,5,54,35,good
9417c1b4c24e428984bc,y9W5d,知识点y9W5d,0.7089,70.89,11,59,33,good
3d63ba961a5f3a60616a,b3C9s,知识点b3C9s,0.9246,92.46,3,4,3,good
3d63ba961a5f3a60616a,g7R2j,知识点g7R2j,0.8717,87.17,5,13,5,good
3d63ba961a5f3a60616a,k4W1c,知识点k4W1c,0.9989,99.89,1,1,1,good
3d63ba961a5f3a60616a,m3D1v,知识点m3D1v,0.9142,91.42,12,21,17,good
3d63ba961a5f3a60616a,r8S3g,知识点r8S3g,0.8022,80.22,5,27,8,good
3d63ba961a5f3a60616a,s8Y2f,知识点s8Y2f,0.9988,99.88,1,1,1,good
3d63ba961a5f3a60616a,t5V9e,知识点t5V9e,0.854,85.4,5,13,13,good
3d63ba961a5f3a60616a,y9W5d,知识点y9W5d,0.954,95.4,11,17,16,good
57709f904b1cc9ec60b1,b3C9s,知识点b3C9s,0.7504,75.04,3,12,7,good
57709f904b1cc9ec60b1,g7R2j,知识点g7R2j,0.8473,84.73,5,33,27,good
57709f904b1cc9ec60b1,k4W1c,知识点k4W1c,0.7283,72.83,1,3,2,good
57709f904b1cc9ec60b1,m3D1v,知识点m3D1v,0.8138,81.38,12,27,16,good
57709f904b1cc9ec60b1,r8S3g,知识点r8S3g,0.7626,76.26,5,53,7,good
57709f904b1cc9ec60b1,s8Y2f,知识点s8Y2f,0.9985,99.85,1,1,1,good
57709f904b1cc9ec60b1,t5V9e,知识点t5V9e,0.8647,86.47,5,12,9,good
57709f904b1cc9ec60b1,y9W5d,知识点y9W5d,0.7684,76.84,11,47,26,good
8979427badebb9e2bd10,b3C9s,知识点b3C9s,0.7198,71.98,3,36,3,good
8979427badebb9e2bd10,g7R2j,知识点g7R2j,0.9107,91.07,5,12,11,good
8979427badebb9e2bd10,k4W1c,知识点k4W1c,0.9988,99.88,1,1,1,good
8979427badebb9e2bd10,m3D1v,知识点m3D1v,0.8573,85.73,12,43,19,good
8979427badebb9e2bd10,r8S3g,知识点r8S3g,0.9514,95.14,5,8,6,good
8979427badebb9e2bd10,s8Y2f,知识点s8Y2f,0.9985,99.85,1,1,1,good
8979427badebb9e2bd10,t5V9e,知识点t5V9e,0.9986,99.86,5,5,5,good
8979427badebb9e2bd10,y9W5d,知识点y9W5d,0.9587,95.87,11,24,24,good
6e7d56f652020f046204,b3C9s,知识点b3C9s,0.8925,89.25,3,9,6,good
6e7d56f652020f046204,g7R2j,知识点g7R2j,0.8987,89.87,5,20,6,good
6e7d56f652020f046204,k4W1c,知识点k4W1c,0.8365,83.65,1,5,5,good
6e7d56f652020f046204,m3D1v,知识点m3D1v,0.853,85.3,12,27,13,good
6e7d56f652020f046204,r8S3g,知识点r8S3g,0.8028,80.28,5,19,7,good
6e7d56f652020f046204,s8Y2f,知识点s8Y2f,0.813,81.3,1,2,1,good
6e7d56f652020f046204,t5V9e,知识点t5V9e,0.8151,81.51,5,28,18,good
6e7d56f652020f046204,y9W5d,知识点y9W5d,0.8469,84.69,11,44,25,good
03aa0b20dd4af1888eef,b3C9s,知识点b3C9s,0.7546,75.46,3,16,7,good
03aa0b20dd4af1888eef,g7R2j,知识点g7R2j,0.7802,78.02,5,17,14,good
03aa0b20dd4af1888eef,k4W1c,知识点k4W1c,0.9987,99.87,1,1,1,good
03aa0b20dd4af1888eef,m3D1v,知识点m3D1v,0.8231,82.31,12,32,22,good
03aa0b20dd4af1888eef,r8S3g,知识点r8S3g,0.7012,70.12,5,43,8,good
03aa0b20dd4af1888eef,s8Y2f,知识点s8Y2f,0.5831,58.31,1,3,1,medium
03aa0b20dd4af1888eef,t5V9e,知识点t5V9e,0.8513,85.13,5,13,11,good
03aa0b20dd4af1888eef,y9W5d,知识点y9W5d,0.8386,83.86,11,51,46,good
1b25734414fcc7466153,b3C9s,知识点b3C9s,0.6554,65.54,3,13,7,good
1b25734414fcc7466153,g7R2j,知识点g7R2j,0.7046,70.46,5,54,27,good
1b25734414fcc7466153,k4W1c,知识点k4W1c,0.6162,61.62,1,9,1,good
1b25734414fcc7466153,m3D1v,知识点m3D1v,0.8204,82.04,12,39,28,good
1b25734414fcc7466153,r8S3g,知识点r8S3g,0.7263,72.63,5,11,7,good
1b25734414fcc7466153,s8Y2f,知识点s8Y2f,0.8028,80.28,1,3,3,good
1b25734414fcc7466153,t5V9e,知识点t5V9e,0.7398,73.98,5,31,20,good
1b25734414fcc7466153,y9W5d,知识点y9W5d,0.7716,77.16,11,43,24,good
8777bd09f180d330b147,b3C9s,知识点b3C9s,0.6729,67.29,3,9,4,good
8777bd09f180d330b147,g7R2j,知识点g7R2j,0.8108,81.08,5,11,6,good
8777bd09f180d330b147,k4W1c,知识点k4W1c,0.8291,82.91,1,3,2,good
8777bd09f180d330b147,m3D1v,知识点m3D1v,0.8118,81.18,12,29,19,good
8777bd09f180d330b147,r8S3g,知识点r8S3g,0.7972,79.72,5,14,8,good
8777bd09f180d330b147,s8Y2f,知识点s8Y2f,0.7029,70.29,1,2,1,good
8777bd09f180d330b147,t5V9e,知识点t5V9e,0.7908,79.08,5,30,13,good
8777bd09f180d330b147,y9W5d,知识点y9W5d,0.76,76.0,11,34,16,good
8b1fbc97391699e46cef,b3C9s,知识点b3C9s,0.7324,73.24,3,5,3,good
8b1fbc97391699e46cef,g7R2j,知识点g7R2j,0.6953,69.53,5,76,51,good
8b1fbc97391699e46cef,k4W1c,知识点k4W1c,0.6413,64.13,1,7,3,good
8b1fbc97391699e46cef,m3D1v,知识点m3D1v,0.6923,69.23,12,90,44,good
8b1fbc97391699e46cef,r8S3g,知识点r8S3g,0.7215,72.15,5,26,6,good
8b1fbc97391699e46cef,s8Y2f,知识点s8Y2f,0.8143,81.43,1,2,1,good
8b1fbc97391699e46cef,t5V9e,知识点t5V9e,0.7577,75.77,5,43,20,good
8b1fbc97391699e46cef,y9W5d,知识点y9W5d,0.721,72.1,11,78,39,good
dc83f9577ae72447a7b1,b3C9s,知识点b3C9s,0.6994,69.94,3,26,26,good
dc83f9577ae72447a7b1,g7R2j,知识点g7R2j,0.7852,78.52,5,17,8,good
dc83f9577ae72447a7b1,k4W1c,知识点k4W1c,0.6744,67.44,1,3,2,good
dc83f9577ae72447a7b1,m3D1v,知识点m3D1v,0.7501,75.01,12,37,16,good
dc83f9577ae72447a7b1,r8S3g,知识点r8S3g,0.7636,76.36,5,11,6,good
dc83f9577ae72447a7b1,s8Y2f,知识点s8Y2f,0.642,64.2,1,2,1,good
dc83f9577ae72447a7b1,t5V9e,知识点t5V9e,0.7228,72.28,5,56,36,good
dc83f9577ae72447a7b1,y9W5d,知识点y9W5d,0.6635,66.35,11,35,17,good
be503fccbf0ae5532639,b3C9s,知识点b3C9s,0.9992,99.92,3,3,3,good
be503fccbf0ae5532639,g7R2j,知识点g7R2j,0.859,85.9,5,16,9,good
be503fccbf0ae5532639,k4W1c,知识点k4W1c,0.9993,99.93,1,1,1,good
be503fccbf0ae5532639,m3D1v,知识点m3D1v,0.8146,81.46,12,19,13,good
be503fccbf0ae5532639,r8S3g,知识点r8S3g,0.8439,84.39,5,14,8,good
be503fccbf0ae5532639,s8Y2f,知识点s8Y2f,0.6862,68.62,1,4,1,good
be503fccbf0ae5532639,t5V9e,知识点t5V9e,0.7198,71.98,5,23,9,good
be503fccbf0ae5532639,y9W5d,知识点y9W5d,0.7924,79.24,11,32,13,good
cd6355bf939a47577f6d,b3C9s,知识点b3C9s,0.5821,58.21,3,48,13,medium
cd6355bf939a47577f6d,g7R2j,知识点g7R2j,0.6773,67.73,5,98,35,good
cd6355bf939a47577f6d,k4W1c,知识点k4W1c,0.5676,56.76,1,17,6,medium
cd6355bf939a47577f6d,m3D1v,知识点m3D1v,0.7271,72.71,12,118,42,good
cd6355bf939a47577f6d,r8S3g,知识点r8S3g,0.8036,80.36,5,36,7,good
cd6355bf939a47577f6d,s8Y2f,知识点s8Y2f,0.7579,75.79,1,3,3,good
cd6355bf939a47577f6d,t5V9e,知识点t5V9e,0.7732,77.32,5,56,24,good
cd6355bf939a47577f6d,y9W5d,知识点y9W5d,0.7164,71.64,11,117,67,good
fb4411db1aac3cd2544b,b3C9s,知识点b3C9s,0.6035,60.35,2,7,4,good
fb4411db1aac3cd2544b,g7R2j,知识点g7R2j,0.9508,95.08,5,7,5,good
fb4411db1aac3cd2544b,k4W1c,知识点k4W1c,0.9987,99.87,1,1,1,good
fb4411db1aac3cd2544b,m3D1v,知识点m3D1v,0.8426,84.26,12,26,16,good
fb4411db1aac3cd2544b,r8S3g,知识点r8S3g,0.8541,85.41,5,17,6,good
fb4411db1aac3cd2544b,s8Y2f,知识点s8Y2f,0.9977,99.77,1,1,1,good
fb4411db1aac3cd2544b,t5V9e,知识点t5V9e,0.8345,83.45,5,30,23,good
fb4411db1aac3cd2544b,y9W5d,知识点y9W5d,0.8338,83.38,11,35,13,good
f06c3ddb1a98713eeb32,b3C9s,知识点b3C9s,0.9425,94.25,3,4,3,good
f06c3ddb1a98713eeb32,g7R2j,知识点g7R2j,0.8479,84.79,5,25,10,good
f06c3ddb1a98713eeb32,k4W1c,知识点k4W1c,0.666,66.6,1,1,1,good
f06c3ddb1a98713eeb32,m3D1v,知识点m3D1v,0.7116,71.16,12,67,32,good
f06c3ddb1a98713eeb32,r8S3g,知识点r8S3g,0.7309,73.09,5,36,9,good
f06c3ddb1a98713eeb32,s8Y2f,知识点s8Y2f,0.6526,65.26,1,2,1,good
f06c3ddb1a98713eeb32,t5V9e,知识点t5V9e,0.7339,73.39,5,22,8,good
f06c3ddb1a98713eeb32,y9W5d,知识点y9W5d,0.6866,68.66,11,44,30,good
bca2be7a89b9b36b45cc,b3C9s,知识点b3C9s,0.8333,83.33,3,14,12,good
bca2be7a89b9b36b45cc,g7R2j,知识点g7R2j,0.9351,93.51,5,13,11,good
bca2be7a89b9b36b45cc,k4W1c,知识点k4W1c,0.9985,99.85,1,1,1,good
bca2be7a89b9b36b45cc,m3D1v,知识点m3D1v,0.8955,89.55,12,63,47,good
bca2be7a89b9b36b45cc,r8S3g,知识点r8S3g,0.7786,77.86,5,14,10,good
bca2be7a89b9b36b45cc,s8Y2f,知识点s8Y2f,0.9981,99.81,1,2,2,good
bca2be7a89b9b36b45cc,t5V9e,知识点t5V9e,0.8808,88.08,5,29,24,good
bca2be7a89b9b36b45cc,y9W5d,知识点y9W5d,0.9243,92.43,11,44,32,good
f058870b1bc33e288e82,b3C9s,知识点b3C9s,0.9431,94.31,3,5,4,good
f058870b1bc33e288e82,g7R2j,知识点g7R2j,0.8528,85.28,5,21,10,good
f058870b1bc33e288e82,k4W1c,知识点k4W1c,0.998,99.8,1,1,1,good
f058870b1bc33e288e82,m3D1v,知识点m3D1v,0.8592,85.92,12,29,18,good
f058870b1bc33e288e82,r8S3g,知识点r8S3g,0.8159,81.59,5,14,6,good
f058870b1bc33e288e82,s8Y2f,知识点s8Y2f,0.9992,99.92,1,1,1,good
f058870b1bc33e288e82,t5V9e,知识点t5V9e,0.8599,85.99,5,30,27,good
f058870b1bc33e288e82,y9W5d,知识点y9W5d,0.9239,92.39,11,21,17,good
a1fa76b5d99a411d6649,b3C9s,知识点b3C9s,0.7278,72.78,3,7,6,good
a1fa76b5d99a411d6649,g7R2j,知识点g7R2j,0.88,88.0,5,15,12,good
a1fa76b5d99a411d6649,k4W1c,知识点k4W1c,0.7397,73.97,1,6,4,good
a1fa76b5d99a411d6649,m3D1v,知识点m3D1v,0.8343,83.43,12,28,19,good
a1fa76b5d99a411d6649,r8S3g,知识点r8S3g,0.8871,88.71,5,41,6,good
a1fa76b5d99a411d6649,s8Y2f,知识点s8Y2f,0.7627,76.27,1,3,1,good
a1fa76b5d99a411d6649,t5V9e,知识点t5V9e,0.9124,91.24,5,13,12,good
a1fa76b5d99a411d6649,y9W5d,知识点y9W5d,0.8397,83.97,11,35,29,good
79ea7a2f63285f2fe26b,b3C9s,知识点b3C9s,0.9436,94.36,3,3,3,good
79ea7a2f63285f2fe26b,g7R2j,知识点g7R2j,0.8464,84.64,5,20,17,good
79ea7a2f63285f2fe26b,k4W1c,知识点k4W1c,0.7989,79.89,1,40,40,good
79ea7a2f63285f2fe26b,m3D1v,知识点m3D1v,0.9388,93.88,12,32,23,good
79ea7a2f63285f2fe26b,r8S3g,知识点r8S3g,0.9984,99.84,5,7,7,good
79ea7a2f63285f2fe26b,s8Y2f,知识点s8Y2f,0.9985,99.85,1,1,1,good
79ea7a2f63285f2fe26b,t5V9e,知识点t5V9e,0.8742,87.42,5,11,9,good
79ea7a2f63285f2fe26b,y9W5d,知识点y9W5d,0.9107,91.07,11,70,60,good
54826f4abf592713d585,b3C9s,知识点b3C9s,0.7989,79.89,3,21,20,good
54826f4abf592713d585,g7R2j,知识点g7R2j,0.8329,83.29,5,20,15,good
54826f4abf592713d585,k4W1c,知识点k4W1c,0.8971,89.71,1,2,2,good
54826f4abf592713d585,m3D1v,知识点m3D1v,0.8558,85.58,12,30,25,good
54826f4abf592713d585,r8S3g,知识点r8S3g,0.8492,84.92,5,7,6,good
54826f4abf592713d585,s8Y2f,知识点s8Y2f,0.7867,78.67,1,4,3,good
54826f4abf592713d585,t5V9e,知识点t5V9e,0.8218,82.18,5,12,7,good
54826f4abf592713d585,y9W5d,知识点y9W5d,0.9016,90.16,11,26,22,good
e716574233e87591ff19,b3C9s,知识点b3C9s,0.7461,74.61,3,10,3,good
e716574233e87591ff19,g7R2j,知识点g7R2j,0.8073,80.73,5,25,18,good
e716574233e87591ff19,k4W1c,知识点k4W1c,0.6859,68.59,1,2,1,good
e716574233e87591ff19,m3D1v,知识点m3D1v,0.7222,72.22,12,47,28,good
e716574233e87591ff19,r8S3g,知识点r8S3g,0.6963,69.63,5,46,7,good
e716574233e87591ff19,s8Y2f,知识点s8Y2f,0.7291,72.91,1,2,1,good
e716574233e87591ff19,t5V9e,知识点t5V9e,0.8368,83.68,5,17,8,good
e716574233e87591ff19,y9W5d,知识点y9W5d,0.7028,70.28,11,37,24,good
bab3d23935ae4f8e798c,b3C9s,知识点b3C9s,0.754,75.4,3,22,11,good
bab3d23935ae4f8e798c,g7R2j,知识点g7R2j,0.7178,71.78,5,52,20,good
bab3d23935ae4f8e798c,k4W1c,知识点k4W1c,0.6709,67.09,1,8,5,good
bab3d23935ae4f8e798c,m3D1v,知识点m3D1v,0.7913,79.13,12,89,54,good
bab3d23935ae4f8e798c,r8S3g,知识点r8S3g,0.7758,77.58,5,76,28,good
bab3d23935ae4f8e798c,s8Y2f,知识点s8Y2f,0.717,71.7,1,15,5,good
bab3d23935ae4f8e798c,t5V9e,知识点t5V9e,0.7435,74.35,5,106,36,good
bab3d23935ae4f8e798c,y9W5d,知识点y9W5d,0.8021,80.21,11,85,56,good
d2403aa287eb869a170a,b3C9s,知识点b3C9s,0.9992,99.92,3,3,3,good
d2403aa287eb869a170a,g7R2j,知识点g7R2j,0.8622,86.22,5,9,5,good
d2403aa287eb869a170a,k4W1c,知识点k4W1c,0.6753,67.53,1,6,1,good
d2403aa287eb869a170a,m3D1v,知识点m3D1v,0.7364,73.64,12,57,35,good
d2403aa287eb869a170a,r8S3g,知识点r8S3g,0.6389,63.89,5,85,8,good
d2403aa287eb869a170a,s8Y2f,知识点s8Y2f,0.6156,61.56,1,4,1,good
d2403aa287eb869a170a,t5V9e,知识点t5V9e,0.6388,63.88,5,107,25,good
d2403aa287eb869a170a,y9W5d,知识点y9W5d,0.7799,77.99,11,40,12,good
ce1a32f22b91f4d81015,b3C9s,知识点b3C9s,0.8515,85.15,3,8,6,good
ce1a32f22b91f4d81015,g7R2j,知识点g7R2j,0.7463,74.63,5,25,20,good
ce1a32f22b91f4d81015,k4W1c,知识点k4W1c,0.7628,76.28,1,1,1,good
ce1a32f22b91f4d81015,m3D1v,知识点m3D1v,0.8447,84.47,12,38,21,good
ce1a32f22b91f4d81015,r8S3g,知识点r8S3g,0.6709,67.09,5,37,10,good
ce1a32f22b91f4d81015,s8Y2f,知识点s8Y2f,0.7952,79.52,1,2,2,good
ce1a32f22b91f4d81015,t5V9e,知识点t5V9e,0.8031,80.31,5,15,10,good
ce1a32f22b91f4d81015,y9W5d,知识点y9W5d,0.8408,84.08,11,34,26,good
d0a933a514028d777578,b3C9s,知识点b3C9s,0.8944,89.44,3,5,4,good
d0a933a514028d777578,g7R2j,知识点g7R2j,0.9045,90.45,5,32,30,good
d0a933a514028d777578,k4W1c,知识点k4W1c,0.8422,84.22,1,5,4,good
d0a933a514028d777578,m3D1v,知识点m3D1v,0.8885,88.85,12,20,18,good
d0a933a514028d777578,r8S3g,知识点r8S3g,0.9147,91.47,5,6,6,good
d0a933a514028d777578,s8Y2f,知识点s8Y2f,0.8142,81.42,1,2,1,good
d0a933a514028d777578,t5V9e,知识点t5V9e,0.8768,87.68,5,10,7,good
d0a933a514028d777578,y9W5d,知识点y9W5d,0.8718,87.18,11,43,39,good
81c4c46f19cb21d54bbb,b3C9s,知识点b3C9s,0.7262,72.62,3,16,4,good
81c4c46f19cb21d54bbb,g7R2j,知识点g7R2j,0.8328,83.28,5,16,12,good
81c4c46f19cb21d54bbb,k4W1c,知识点k4W1c,0.9982,99.82,1,1,1,good
81c4c46f19cb21d54bbb,m3D1v,知识点m3D1v,0.9128,91.28,12,24,16,good
