student_ID,month,submit_count,question_count,correct_count,correct_ratio,correct_percentage
dc83f9577ae72447a7b1,2023-10,91,22,53,0.5824,58.24
dc83f9577ae72447a7b1,2023-11,49,16,30,0.6122,61.22
dc83f9577ae72447a7b1,2023-12,21,8,20,0.9524,95.24
be503fccbf0ae5532639,2023-10,30,9,14,0.4667,46.67
be503fccbf0ae5532639,2023-11,46,20,23,0.5,50.0
be503fccbf0ae5532639,2023-12,20,9,13,0.65,65.0
cd6355bf939a47577f6d,2023-10,160,20,36,0.225,22.5
cd6355bf939a47577f6d,2023-11,234,25,103,0.4402,44.02
cd6355bf939a47577f6d,2023-12,60,18,41,0.6833,68.33
fb4411db1aac3cd2544b,2023-09,14,3,3,0.2143,21.43
fb4411db1aac3cd2544b,2023-10,48,17,36,0.75,75.0
fb4411db1aac3cd2544b,2023-11,30,10,9,0.3,30.0
fb4411db1aac3cd2544b,2023-12,18,10,13,0.7222,72.22
f06c3ddb1a98713eeb32,2023-10,47,9,14,0.2979,29.79
f06c3ddb1a98713eeb32,2023-11,108,25,49,0.4537,45.37
f06c3ddb1a98713eeb32,2023-12,15,11,12,0.8,80.0
bca2be7a89b9b36b45cc,2023-10,37,15,23,0.6216,62.16
bca2be7a89b9b36b45cc,2023-11,74,23,60,0.8108,81.08
bca2be7a89b9b36b45cc,2023-12,44,26,41,0.9318,93.18
f058870b1bc33e288e82,2023-10,13,6,7,0.5385,53.85
f058870b1bc33e288e82,2023-11,69,23,52,0.7536,75.36
f058870b1bc33e288e82,2023-12,28,9,16,0.5714,57.14
a1fa76b5d99a411d6649,2023-10,49,17,24,0.4898,48.98
a1fa76b5d99a411d6649,2023-11,47,16,38,0.8085,80.85
a1fa76b5d99a411d6649,2023-12,14,7,12,0.8571,85.71
79ea7a2f63285f2fe26b,2023-10,27,17,24,0.8889,88.89
79ea7a2f63285f2fe26b,2023-11,90,15,77,0.8556,85.56
79ea7a2f63285f2fe26b,2023-12,13,8,12,0.9231,92.31
54826f4abf592713d585,2023-10,45,20,34,0.7556,75.56
54826f4abf592713d585,2023-11,61,18,53,0.8689,86.89
54826f4abf592713d585,2023-12,2,1,2,1.0,100.0
e716574233e87591ff19,2023-10,42,9,13,0.3095,30.95
e716574233e87591ff19,2023-11,47,11,27,0.5745,57.45
e716574233e87591ff19,2023-12,62,18,40,0.6452,64.52
bab3d23935ae4f8e798c,2023-10,234,38,91,0.3889,38.89
bab3d23935ae4f8e798c,2023-11,111,22,66,0.5946,59.46
bab3d23935ae4f8e798c,2023-12,44,11,27,0.6136,61.36
d2403aa287eb869a170a,2023-10,235,23,66,0.2809,28.09
d2403aa287eb869a170a,2023-11,21,6,6,0.2857,28.57
d2403aa287eb869a170a,2023-12,17,8,8,0.4706,47.06
d2403aa287eb869a170a,2024-01,3,3,3,1.0,100.0
ce1a32f22b91f4d81015,2023-09,13,1,2,0.1538,15.38
ce1a32f22b91f4d81015,2023-10,22,6,8,0.3636,36.36
ce1a32f22b91f4d81015,2023-11,76,26,53,0.6974,69.74
ce1a32f22b91f4d81015,2023-12,25,9,16,0.64,64.0
d0a933a514028d777578,2023-09,1,1,1,1.0,100.0
d0a933a514028d777578,2023-10,54,24,47,0.8704,87.04
d0a933a514028d777578,2023-11,48,15,43,0.8958,89.58
d0a933a514028d777578,2023-12,3,1,3,1.0,100.0
81c4c46f19cb21d54bbb,2023-09,13,9,10,0.7692,76.92
81c4c46f19cb21d54bbb,2023-10,51,23,34,0.6667,66.67
81c4c46f19cb21d54bbb,2023-11,21,8,10,0.4762,47.62
81c4c46f19cb21d54bbb,2023-12,4,1,1,0.25,25.0
876aca2b8ce1958ea773,2023-10,140,13,32,0.2286,22.86
876aca2b8ce1958ea773,2023-11,73,16,30,0.411,41.1
876aca2b8ce1958ea773,2023-12,122,12,74,0.6066,60.66
c57c5ca2df494f27ca64,2023-09,1,1,1,1.0,100.0
c57c5ca2df494f27ca64,2023-10,15,6,14,0.9333,93.33
c57c5ca2df494f27ca64,2023-11,24,12,23,0.9583,95.83
c57c5ca2df494f27ca64,2023-12,87,20,54,0.6207,62.07
64d1d58d40bca568347c,2023-10,71,23,34,0.4789,47.89
64d1d58d40bca568347c,2023-11,43,12,26,0.6047,60.47
64d1d58d40bca568347c,2023-12,6,4,5,0.8333,83.33
75c2677c8d156032e303,2023-10,56,5,10,0.1786,17.86
75c2677c8d156032e303,2023-11,173,19,42,0.2428,24.28
75c2677c8d156032e303,2023-12,82,17,59,0.7195,71.95
b345ecad87a7fbac77ce,2023-10,172,38,147,0.8547,85.47
b345ecad87a7fbac77ce,2023-11,66,17,59,0.8939,89.39
b345ecad87a7fbac77ce,2023-12,8,2,7,0.875,87.5
360820d6620d17d1b48b,2023-09,39,11,16,0.4103,41.03
360820d6620d17d1b48b,2023-10,52,25,43,0.8269,82.69
360820d6620d17d1b48b,2023-11,55,11,52,0.9455,94.55
360820d6620d17d1b48b,2023-12,52,5,46,0.8846,88.46
7086b49d3d6c2cf79c1a,2023-10,85,27,51,0.6,60.0
7086b49d3d6c2cf79c1a,2023-11,13,11,11,0.8462,84.62
cac3f85073c947532796,2023-10,28,9,12,0.4286,42.86
cac3f85073c947532796,2023-11,146,26,119,0.8151,81.51
cac3f85073c947532796,2023-12,34,6,15,0.4412,44.12
e37bbe9fe37f92b785d9,2023-10,107,34,87,0.8131,81.31
e37bbe9fe37f92b785d9,2023-11,74,21,40,0.5405,54.05
e37bbe9fe37f92b785d9,2023-12,3,2,3,1.0,100.0
0a8736f6520cea837d94,2023-10,88,16,40,0.4545,45.45
0a8736f6520cea837d94,2023-11,63,19,35,0.5556,55.56
0a8736f6520cea837d94,2023-12,67,12,14,0.209,20.9
37ae91c472189108a737,2023-10,1,1,1,1.0,100.0
37ae91c472189108a737,2023-11,37,14,22,0.5946,59.46
37ae91c472189108a737,2023-12,41,23,26,0.6341,63.41
488934d01a504bc212b4,2023-10,25,16,18,0.72,72.0
488934d01a504bc212b4,2023-11,55,23,48,0.8727,87.27
545eb6c8154273344669,2023-09,2,1,0,0.0,0.0
545eb6c8154273344669,2023-10,58,18,33,0.569,56.9
545eb6c8154273344669,2023-11,67,16,29,0.4328,43.28
545eb6c8154273344669,2023-12,11,5,7,0.6364,63.64
22ae866c664a147f9971,2023-10,65,32,57,0.8769,87.69
22ae866c664a147f9971,2023-11,14,6,12,0.8571,85.71
86215294b080f19af22f,2023-09,30,3,0,0.0,0.0
86215294b080f19af22f,2023-10,54,23,35,0.6481,64.81
86215294b080f19af22f,2023-11,30,9,16,0.5333,53.33
86215294b080f19af22f,2023-12,35,8,17,0.4857,48.57
1e25b47eaef62694a236,2023-10,7,1,1,0.1429,14.29
1e25b47eaef62694a236,2023-11,48,7,24,0.5,50.0
1e25b47eaef62694a236,2023-12,54,31,45,0.8333,83.33
580e98185da72b5f34cd,2023-09,21,6,10,0.4762,47.62
580e98185da72b5f34cd,2023-10,106,25,79,0.7453,74.53
580e98185da72b5f34cd,2023-11,49,6,44,0.898,89.8
580e98185da72b5f34cd,2023-12,33,4,31,0.9394,93.94
99d6b8a1cc0020112951,2023-09,3,1,1,0.3333,33.33
99d6b8a1cc0020112951,2023-10,102,35,70,0.6863,68.63
99d6b8a1cc0020112951,2023-11,7,3,4,0.5714,57.14
ff59855075a6bc39d62b,2023-10,19,6,7,0.3684,36.84
ff59855075a6bc39d62b,2023-11,6,4,6,1.0,100.0
ff59855075a6bc39d62b,2023-12,43,28,28,0.6512,65.12
8d422b817027d7721870,2023-09,12,8,10,0.8333,83.33
8d422b817027d7721870,2023-10,38,22,36,0.9474,94.74
8d422b817027d7721870,2023-11,23,8,22,0.9565,95.65
8d422b817027d7721870,2023-12,3,1,3,1.0,100.0
18cdd44af62c6935e7a0,2023-09,42,8,18,0.4286,42.86
18cdd44af62c6935e7a0,2023-10,67,14,55,0.8209,82.09
18cdd44af62c6935e7a0,2023-11,81,18,58,0.716,71.6
c00c91256ab1777d0dbc,2023-10,134,36,51,0.3806,38.06
c00c91256ab1777d0dbc,2023-11,27,7,13,0.4815,48.15
c00c91256ab1777d0dbc,2023-12,5,2,5,1.0,100.0
10de703c06bf9d873d68,2023-09,6,1,0,0.0,0.0
10de703c06bf9d873d68,2023-10,89,22,38,0.427,42.7
10de703c06bf9d873d68,2023-11,49,18,26,0.5306,53.06
10de703c06bf9d873d68,2023-12,8,7,8,1.0,100.0
t3wo8xb4rq94n3fpfk35,2023-09,3,2,1,0.3333,33.33
t3wo8xb4rq94n3fpfk35,2023-10,38,23,23,0.6053,60.53
t3wo8xb4rq94n3fpfk35,2023-11,39,24,20,0.5128,51.28
t3wo8xb4rq94n3fpfk35,2023-12,24,14,16,0.6667,66.67
8cvzwcc62ql4rqj0pyzl,2023-09,3,3,1,0.3333,33.33
8cvzwcc62ql4rqj0pyzl,2023-10,35,21,19,0.5429,54.29
8cvzwcc62ql4rqj0pyzl,2023-11,40,22,26,0.65,65.0
8cvzwcc62ql4rqj0pyzl,2023-12,20,13,15,0.75,75.0
8cvzwcc62ql4rqj0pyzl,2024-01,1,1,0,0.0,0.0
79cvflltnemb9zpg6pgl,2023-09,2,2,0,0.0,0.0
79cvflltnemb9zpg6pgl,2023-10,38,22,22,0.5789,57.89
79cvflltnemb9zpg6pgl,2023-11,37,21,25,0.6757,67.57
79cvflltnemb9zpg6pgl,2023-12,17,10,8,0.4706,47.06
i21qi5qdsjqcch2xvdd5,2023-09,1,1,0,0.0,0.0
i21qi5qdsjqcch2xvdd5,2023-10,37,20,19,0.5135,51.35
i21qi5qdsjqcch2xvdd5,2023-11,38,24,19,0.5,50.0
i21qi5qdsjqcch2xvdd5,2023-12,24,15,13,0.5417,54.17
qw1seyo5nrhlm8vby58w,2023-09,1,1,0,0.0,0.0
qw1seyo5nrhlm8vby58w,2023-10,36,18,16,0.4444,44.44
qw1seyo5nrhlm8vby58w,2023-11,44,21,27,0.6136,61.36
qw1seyo5nrhlm8vby58w,2023-12,18,13,11,0.6111,61.11
qw1seyo5nrhlm8vby58w,2024-01,1,1,0,0.0,0.0
exj3a7hd6gwihbowgm3w,2023-09,2,2,0,0.0,0.0
exj3a7hd6gwihbowgm3w,2023-10,40,20,19,0.475,47.5
exj3a7hd6gwihbowgm3w,2023-11,35,19,18,0.5143,51.43
exj3a7hd6gwihbowgm3w,2023-12,22,14,10,0.4545,45.45
exj3a7hd6gwihbowgm3w,2024-01,1,1,0,0.0,0.0
qz6jjynwbd3szlp0rj04,2023-09,4,2,2,0.5,50.0
qz6jjynwbd3szlp0rj04,2023-10,37,21,20,0.5405,54.05
qz6jjynwbd3szlp0rj04,2023-11,33,18,23,0.697,69.7
qz6jjynwbd3szlp0rj04,2023-12,14,10,8,0.5714,57.14
0maggb1hf886m5u6p2vr,2023-09,5,5,0,0.0,0.0
0maggb1hf886m5u6p2vr,2023-10,45,23,26,0.5778,57.78
0maggb1hf886m5u6p2vr,2023-11,39,24,22,0.5641,56.41
0maggb1hf886m5u6p2vr,2023-12,24,15,12,0.5,50.0
0maggb1hf886m5u6p2vr,2024-01,1,1,0,0.0,0.0
cuwakm24vlp785ky5w71,2023-09,5,3,1,0.2,20.0
cuwakm24vlp785ky5w71,2023-10,45,20,19,0.4222,42.22
cuwakm24vlp785ky5w71,2023-11,51,26,33,0.6471,64.71
cuwakm24vlp785ky5w71,2023-12,20,15,11,0.55,55.0
cuwakm24vlp785ky5w71,2024-01,1,1,0,0.0,0.0
uvh2zil455wi0dcdan51,2023-09,2,2,1,0.5,50.0
uvh2zil455wi0dcdan51,2023-10,34,19,19,0.5588,55.88
uvh2zil455wi0dcdan51,2023-11,52,30,30,0.5769,57.69
uvh2zil455wi0dcdan51,2023-12,20,12,10,0.5,50.0
uvh2zil455wi0dcdan51,2024-01,1,1,1,1.0,100.0
wwh529n48kyjq1xe9h46,2023-09,2,2,1,0.5,50.0
wwh529n48kyjq1xe9h46,2023-10,39,20,23,0.5897,58.97
wwh529n48kyjq1xe9h46,2023-11,31,18,22,0.7097,70.97
wwh529n48kyjq1xe9h46,2023-12,13,10,10,0.7692,76.92
wwh529n48kyjq1xe9h46,2024-01,2,2,1,0.5,50.0
o5lo8q4tb8yt0v8imkw4,2023-09,2,2,0,0.0,0.0
o5lo8q4tb8yt0v8imkw4,2023-10,46,21,23,0.5,50.0
o5lo8q4tb8yt0v8imkw4,2023-11,31,20,16,0.5161,51.61
o5lo8q4tb8yt0v8imkw4,2023-12,16,8,14,0.875,87.5
o5lo8q4tb8yt0v8imkw4,2024-01,2,2,1,0.5,50.0
pr6b1twg5sgsrzek6adi,2023-09,3,3,1,0.3333,33.33
pr6b1twg5sgsrzek6adi,2023-10,38,18,19,0.5,50.0
pr6b1twg5sgsrzek6adi,2023-11,47,21,27,0.5745,57.45
pr6b1twg5sgsrzek6adi,2023-12,19,13,10,0.5263,52.63
zeuj2ypen39p38d4m3oj,2023-09,1,1,0,0.0,0.0
zeuj2ypen39p38d4m3oj,2023-10,28,17,13,0.4643,46.43
zeuj2ypen39p38d4m3oj,2023-11,42,20,22,0.5238,52.38
zeuj2ypen39p38d4m3oj,2023-12,24,17,8,0.3333,33.33
6o68qswzkvrrtbiz6bzr,2023-10,44,21,23,0.5227,52.27
6o68qswzkvrrtbiz6bzr,2023-11,41,25,18,0.439,43.9
6o68qswzkvrrtbiz6bzr,2023-12,31,14,18,0.5806,58.06
6o68qswzkvrrtbiz6bzr,2024-01,2,2,0,0.0,0.0
1mp9yiw6rkrr3846047g,2023-09,3,3,1,0.3333,33.33
1mp9yiw6rkrr3846047g,2023-10,39,18,21,0.5385,53.85
1mp9yiw6rkrr3846047g,2023-11,34,20,22,0.6471,64.71
1mp9yiw6rkrr3846047g,2023-12,15,11,9,0.6,60.0
lzvutqpj9ggc0nwwsxcv,2023-09,1,1,0,0.0,0.0
lzvutqpj9ggc0nwwsxcv,2023-10,43,24,21,0.4884,48.84
lzvutqpj9ggc0nwwsxcv,2023-11,40,21,24,0.6,60.0
lzvutqpj9ggc0nwwsxcv,2023-12,18,13,14,0.7778,77.78
lzvutqpj9ggc0nwwsxcv,2024-01,1,1,1,1.0,100.0
isa355t9q5rut5fm8aml,2023-09,2,2,1,0.5,50.0
isa355t9q5rut5fm8aml,2023-10,34,21,20,0.5882,58.82
isa355t9q5rut5fm8aml,2023-11,33,18,19,0.5758,57.58
isa355t9q5rut5fm8aml,2023-12,26,17,21,0.8077,80.77
isa355t9q5rut5fm8aml,2024-01,1,1,1,1.0,100.0
5gs9643ghg39gpkgi3e5,2023-09,1,1,0,0.0,0.0
5gs9643ghg39gpkgi3e5,2023-10,41,20,27,0.6585,65.85
5gs9643ghg39gpkgi3e5,2023-11,31,19,17,0.5484,54.84
5gs9643ghg39gpkgi3e5,2023-12,16,11,12,0.75,75.0
ao2x473zwn7k7a6gpfr9,2023-09,3,2,1,0.3333,33.33
ao2x473zwn7k7a6gpfr9,2023-10,35,23,18,0.5143,51.43
ao2x473zwn7k7a6gpfr9,2023-11,33,21,20,0.6061,60.61
ao2x473zwn7k7a6gpfr9,2023-12,21,16,9,0.4286,42.86
ao2x473zwn7k7a6gpfr9,2024-01,2,2,2,1.0,100.0
jwdjcrxdn0um79f0rjvw,2023-09,3,2,1,0.3333,33.33
jwdjcrxdn0um79f0rjvw,2023-10,43,23,23,0.5349,53.49
jwdjcrxdn0um79f0rjvw,2023-11,38,21,23,0.6053,60.53
jwdjcrxdn0um79f0rjvw,2023-12,13,11,9,0.6923,69.23
oppl3ojvw61dvd5yw1wl,2023-09,3,2,1,0.3333,33.33
oppl3ojvw61dvd5yw1wl,2023-10,48,22,28,0.5833,58.33
oppl3ojvw61dvd5yw1wl,2023-11,37,16,24,0.6486,64.86
oppl3ojvw61dvd5yw1wl,2023-12,22,13,11,0.5,50.0
oppl3ojvw61dvd5yw1wl,2024-01,1,1,1,1.0,100.0
s0vfgmhobw9jq6al8iww,2023-09,2,2,0,0.0,0.0
s0vfgmhobw9jq6al8iww,2023-10,39,20,23,0.5897,58.97
s0vfgmhobw9jq6al8iww,2023-11,39,21,25,0.641,64.1
s0vfgmhobw9jq6al8iww,2023-12,10,9,6,0.6,60.0
styld7k1gge5cvjria5b,2023-09,1,1,0,0.0,0.0
styld7k1gge5cvjria5b,2023-10,34,18,21,0.6176,61.76
styld7k1gge5cvjria5b,2023-11,28,22,20,0.7143,71.43
styld7k1gge5cvjria5b,2023-12,20,13,12,0.6,60.0
styld7k1gge5cvjria5b,2024-01,4,4,2,0.5,50.0
fvurnsqlgyr9zbd6msqs,2023-09,2,2,0,0.0,0.0
fvurnsqlgyr9zbd6msqs,2023-10,38,19,19,0.5,50.0
fvurnsqlgyr9zbd6msqs,2023-11,26,15,16,0.6154,61.54
fvurnsqlgyr9zbd6msqs,2023-12,19,16,10,0.5263,52.63
fvurnsqlgyr9zbd6msqs,2024-01,1,1,1,1.0,100.0
47vclaej1xmb0rc8kgka,2023-09,4,3,3,0.75,75.0
47vclaej1xmb0rc8kgka,2023-10,37,20,17,0.4595,45.95
47vclaej1xmb0rc8kgka,2023-11,42,24,26,0.619,61.9
47vclaej1xmb0rc8kgka,2023-12,19,13,10,0.5263,52.63
47vclaej1xmb0rc8kgka,2024-01,1,1,1,1.0,100.0
cnkddx6ofjqd7ueylz0e,2023-09,3,2,1,0.3333,33.33
cnkddx6ofjqd7ueylz0e,2023-10,47,24,24,0.5106,51.06
cnkddx6ofjqd7ueylz0e,2023-11,39,20,20,0.5128,51.28
cnkddx6ofjqd7ueylz0e,2023-12,14,9,9,0.6429,64.29
cnkddx6ofjqd7ueylz0e,2024-01,5,3,2,0.4,40.0
zlaig56ve06t7jruk2mr,2023-09,5,3,2,0.4,40.0
zlaig56ve06t7jruk2mr,2023-10,39,21,20,0.5128,51.28
zlaig56ve06t7jruk2mr,2023-11,34,21,24,0.7059,70.59
zlaig56ve06t7jruk2mr,2023-12,23,13,16,0.6957,69.57
ifj584ryrjv639n4nnsu,2023-10,41,21,22,0.5366,53.66
ifj584ryrjv639n4nnsu,2023-11,33,18,23,0.697,69.7
ifj584ryrjv639n4nnsu,2023-12,22,14,13,0.5909,59.09
ifj584ryrjv639n4nnsu,2024-01,4,3,1,0.25,25.0
xh8a7nmtz192pknhec33,2023-10,28,15,13,0.4643,46.43
xh8a7nmtz192pknhec33,2023-11,31,16,18,0.5806,58.06
xh8a7nmtz192pknhec33,2023-12,13,11,7,0.5385,53.85
xh8a7nmtz192pknhec33,2024-01,1,1,1,1.0,100.0
vhlntoniujqiclub2juy,2023-09,4,4,2,0.5,50.0
vhlntoniujqiclub2juy,2023-10,34,18,17,0.5,50.0
vhlntoniujqiclub2juy,2023-11,36,20,24,0.6667,66.67
vhlntoniujqiclub2juy,2023-12,18,11,11,0.6111,61.11
vhlntoniujqiclub2juy,2024-01,1,1,1,1.0,100.0
9wax6sfj9cuqbbxc95om,2023-09,2,2,1,0.5,50.0
9wax6sfj9cuqbbxc95om,2023-10,31,20,17,0.5484,54.84
9wax6sfj9cuqbbxc95om,2023-11,32,20,20,0.625,62.5
9wax6sfj9cuqbbxc95om,2023-12,23,17,14,0.6087,60.87
9wax6sfj9cuqbbxc95om,2024-01,2,2,1,0.5,50.0
oit2xadfbpuveswzx4pf,2023-09,1,1,0,0.0,0.0
oit2xadfbpuveswzx4pf,2023-10,33,20,12,0.3636,36.36
oit2xadfbpuveswzx4pf,2023-11,38,21,25,0.6579,65.79
oit2xadfbpuveswzx4pf,2023-12,13,10,5,0.3846,38.46
oit2xadfbpuveswzx4pf,2024-01,1,1,0,0.0,0.0
91ybnlkli8x332l13rrk,2023-09,3,2,1,0.3333,33.33
91ybnlkli8x332l13rrk,2023-10,34,16,18,0.5294,52.94
91ybnlkli8x332l13rrk,2023-11,37,20,20,0.5405,54.05
91ybnlkli8x332l13rrk,2023-12,15,9,6,0.4,40.0
k4usquerebza4uy0i57h,2023-09,2,2,1,0.5,50.0
k4usquerebza4uy0i57h,2023-10,37,19,19,0.5135,51.35
k4usquerebza4uy0i57h,2023-11,31,19,13,0.4194,41.94
k4usquerebza4uy0i57h,2023-12,14,11,7,0.5,50.0
k4usquerebza4uy0i57h,2024-01,2,2,1,0.5,50.0
6ae7d356ba998218af82,2023-10,28,13,24,0.8571,85.71
6ae7d356ba998218af82,2023-11,29,17,27,0.931,93.1
6ae7d356ba998218af82,2024-01,12,9,10,0.8333,83.33
2c6339f7c23a64d02081,2023-10,34,10,21,0.6176,61.76
2c6339f7c23a64d02081,2023-11,18,7,10,0.5556,55.56
2c6339f7c23a64d02081,2023-12,25,21,19,0.76,76.0
2c6339f7c23a64d02081,2024-01,3,3,3,1.0,100.0
79fdbcf16db75f75383a,2023-10,10,9,10,1.0,100.0
79fdbcf16db75f75383a,2023-11,26,9,21,0.8077,80.77
79fdbcf16db75f75383a,2023-12,82,21,57,0.6951,69.51
50fec4ca4283ad18c000,2023-10,16,10,15,0.9375,93.75
50fec4ca4283ad18c000,2023-11,26,10,16,0.6154,61.54
50fec4ca4283ad18c000,2023-12,75,20,68,0.9067,90.67
077d5c82c9ee5019220f,2023-10,26,12,23,0.8846,88.46
077d5c82c9ee5019220f,2023-11,33,12,32,0.9697,96.97
077d5c82c9ee5019220f,2023-12,21,17,18,0.8571,85.71
41f718ae2aed1d6c2573,2023-09,9,6,8,0.8889,88.89
41f718ae2aed1d6c2573,2023-10,25,12,18,0.72,72.0
41f718ae2aed1d6c2573,2023-11,24,13,17,0.7083,70.83
41f718ae2aed1d6c2573,2023-12,16,9,10,0.625,62.5
222d5ee50487a2b8601b,2023-10,46,11,17,0.3696,36.96
222d5ee50487a2b8601b,2023-11,33,9,12,0.3636,36.36
222d5ee50487a2b8601b,2023-12,39,18,30,0.7692,76.92
0088dc183f73c83f763e,2023-10,88,16,27,0.3068,30.68
0088dc183f73c83f763e,2023-11,21,12,14,0.6667,66.67
0088dc183f73c83f763e,2023-12,54,15,41,0.7593,75.93
f9d95830556934ae9a01,2023-10,60,13,23,0.3833,38.33
f9d95830556934ae9a01,2023-11,50,17,33,0.66,66.0
f9d95830556934ae9a01,2023-12,54,11,36,0.6667,66.67
06aff3e28c5db152f506,2023-10,59,34,44,0.7458,74.58
06aff3e28c5db152f506,2023-11,17,7,11,0.6471,64.71
06aff3e28c5db152f506,2023-12,33,18,27,0.8182,81.82
3555053023c67d592439,2023-10,35,15,15,0.4286,42.86
3555053023c67d592439,2023-11,18,15,16,0.8889,88.89
3555053023c67d592439,2023-12,29,8,18,0.6207,62.07
f25a777dbbda3d4314d7,2023-10,15,5,7,0.4667,46.67
f25a777dbbda3d4314d7,2023-11,50,17,29,0.58,58.0
f25a777dbbda3d4314d7,2023-12,51,18,33,0.6471,64.71
41e9ff991a4a21f423a8,2023-10,22,10,11,0.5,50.0
41e9ff991a4a21f423a8,2023-11,58,20,41,0.7069,70.69
41e9ff991a4a21f423a8,2023-12,43,25,39,0.907,90.7
