student_ID,method,method_name,count,ratio,percentage
a8eea517e36b20757b2e,Method_gj1NLb4Jn7URf9K2kQPd,方法1,42,0.2515,25.15
a8eea517e36b20757b2e,Method_BXr9AIsPQhwNvyGdZL57,方法2,41,0.2455,24.55
a8eea517e36b20757b2e,Method_5Q4KoXthUuYz3bvrTDFm,方法3,31,0.1856,18.56
a8eea517e36b20757b2e,Method_m8vwGkEZc3TSW2xqYUoR,方法4,29,0.1737,17.37
a8eea517e36b20757b2e,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,24,0.1437,14.37
e89cdaa3f159a0d3f55e,Method_m8vwGkEZc3TSW2xqYUoR,方法1,104,0.2476,24.76
e89cdaa3f159a0d3f55e,Method_5Q4KoXthUuYz3bvrTDFm,方法2,90,0.2143,21.43
e89cdaa3f159a0d3f55e,Method_gj1NLb4Jn7URf9K2kQPd,方法3,82,0.1952,19.52
e89cdaa3f159a0d3f55e,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,75,0.1786,17.86
e89cdaa3f159a0d3f55e,Method_BXr9AIsPQhwNvyGdZL57,方法5,69,0.1643,16.43
e324cc9cb52a2b3cb9cb,Method_gj1NLb4Jn7URf9K2kQPd,方法1,50,0.2392,23.92
e324cc9cb52a2b3cb9cb,Method_5Q4KoXthUuYz3bvrTDFm,方法2,47,0.2249,22.49
e324cc9cb52a2b3cb9cb,Method_m8vwGkEZc3TSW2xqYUoR,方法3,41,0.1962,19.62
e324cc9cb52a2b3cb9cb,Method_BXr9AIsPQhwNvyGdZL57,方法4,38,0.1818,18.18
e324cc9cb52a2b3cb9cb,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,33,0.1579,15.79
98e10f84d94623f8b39e,Method_m8vwGkEZc3TSW2xqYUoR,方法1,43,0.2654,26.54
98e10f84d94623f8b39e,Method_5Q4KoXthUuYz3bvrTDFm,方法2,37,0.2284,22.84
98e10f84d94623f8b39e,Method_gj1NLb4Jn7URf9K2kQPd,方法3,30,0.1852,18.52
98e10f84d94623f8b39e,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,27,0.1667,16.67
98e10f84d94623f8b39e,Method_BXr9AIsPQhwNvyGdZL57,方法5,25,0.1543,15.43
3c89c7f1db26ae691db8,Method_gj1NLb4Jn7URf9K2kQPd,方法1,59,0.2351,23.51
3c89c7f1db26ae691db8,Method_BXr9AIsPQhwNvyGdZL57,方法2,58,0.2311,23.11
3c89c7f1db26ae691db8,Method_5Q4KoXthUuYz3bvrTDFm,方法3,48,0.1912,19.12
3c89c7f1db26ae691db8,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,43,0.1713,17.13
3c89c7f1db26ae691db8,Method_m8vwGkEZc3TSW2xqYUoR,方法5,43,0.1713,17.13
9ea29e4a747ea4a7c70a,Method_m8vwGkEZc3TSW2xqYUoR,方法1,39,0.2378,23.78
9ea29e4a747ea4a7c70a,Method_5Q4KoXthUuYz3bvrTDFm,方法2,34,0.2073,20.73
9ea29e4a747ea4a7c70a,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,33,0.2012,20.12
9ea29e4a747ea4a7c70a,Method_BXr9AIsPQhwNvyGdZL57,方法4,33,0.2012,20.12
9ea29e4a747ea4a7c70a,Method_gj1NLb4Jn7URf9K2kQPd,方法5,25,0.1524,15.24
e23ada44d3eac9b465d2,Method_5Q4KoXthUuYz3bvrTDFm,方法1,19,0.2568,25.68
e23ada44d3eac9b465d2,Method_m8vwGkEZc3TSW2xqYUoR,方法2,18,0.2432,24.32
e23ada44d3eac9b465d2,Method_gj1NLb4Jn7URf9K2kQPd,方法3,15,0.2027,20.27
e23ada44d3eac9b465d2,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,12,0.1622,16.22
e23ada44d3eac9b465d2,Method_BXr9AIsPQhwNvyGdZL57,方法5,10,0.1351,13.51
b79c2d9d8148403a3720,Method_5Q4KoXthUuYz3bvrTDFm,方法1,54,0.2308,23.08
b79c2d9d8148403a3720,Method_BXr9AIsPQhwNvyGdZL57,方法2,50,0.2137,21.37
b79c2d9d8148403a3720,Method_gj1NLb4Jn7URf9K2kQPd,方法3,48,0.2051,20.51
b79c2d9d8148403a3720,Method_m8vwGkEZc3TSW2xqYUoR,方法4,47,0.2009,20.09
b79c2d9d8148403a3720,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,35,0.1496,14.96
01d8aa21ef476b66c573,Method_BXr9AIsPQhwNvyGdZL57,方法1,31,0.2403,24.03
01d8aa21ef476b66c573,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,28,0.2171,21.71
01d8aa21ef476b66c573,Method_m8vwGkEZc3TSW2xqYUoR,方法3,26,0.2016,20.16
01d8aa21ef476b66c573,Method_5Q4KoXthUuYz3bvrTDFm,方法4,24,0.186,18.6
01d8aa21ef476b66c573,Method_gj1NLb4Jn7URf9K2kQPd,方法5,20,0.155,15.5
9417c1b4c24e428984bc,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,51,0.2602,26.02
9417c1b4c24e428984bc,Method_m8vwGkEZc3TSW2xqYUoR,方法2,43,0.2194,21.94
9417c1b4c24e428984bc,Method_5Q4KoXthUuYz3bvrTDFm,方法3,36,0.1837,18.37
9417c1b4c24e428984bc,Method_gj1NLb4Jn7URf9K2kQPd,方法4,35,0.1786,17.86
9417c1b4c24e428984bc,Method_BXr9AIsPQhwNvyGdZL57,方法5,31,0.1582,15.82
3d63ba961a5f3a60616a,Method_m8vwGkEZc3TSW2xqYUoR,方法1,18,0.2368,23.68
3d63ba961a5f3a60616a,Method_gj1NLb4Jn7URf9K2kQPd,方法2,16,0.2105,21.05
3d63ba961a5f3a60616a,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,16,0.2105,21.05
3d63ba961a5f3a60616a,Method_BXr9AIsPQhwNvyGdZL57,方法4,15,0.1974,19.74
3d63ba961a5f3a60616a,Method_5Q4KoXthUuYz3bvrTDFm,方法5,11,0.1447,14.47
57709f904b1cc9ec60b1,Method_gj1NLb4Jn7URf9K2kQPd,方法1,40,0.25,25.0
57709f904b1cc9ec60b1,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,36,0.225,22.5
57709f904b1cc9ec60b1,Method_5Q4KoXthUuYz3bvrTDFm,方法3,34,0.2125,21.25
57709f904b1cc9ec60b1,Method_m8vwGkEZc3TSW2xqYUoR,方法4,27,0.1688,16.88
57709f904b1cc9ec60b1,Method_BXr9AIsPQhwNvyGdZL57,方法5,23,0.1437,14.37
8979427badebb9e2bd10,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,35,0.2966,29.66
8979427badebb9e2bd10,Method_5Q4KoXthUuYz3bvrTDFm,方法2,23,0.1949,19.49
8979427badebb9e2bd10,Method_BXr9AIsPQhwNvyGdZL57,方法3,23,0.1949,19.49
8979427badebb9e2bd10,Method_gj1NLb4Jn7URf9K2kQPd,方法4,20,0.1695,16.95
8979427badebb9e2bd10,Method_m8vwGkEZc3TSW2xqYUoR,方法5,17,0.1441,14.41
6e7d56f652020f046204,Method_gj1NLb4Jn7URf9K2kQPd,方法1,29,0.2071,20.71
6e7d56f652020f046204,Method_m8vwGkEZc3TSW2xqYUoR,方法2,28,0.2,20.0
6e7d56f652020f046204,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,28,0.2,20.0
6e7d56f652020f046204,Method_BXr9AIsPQhwNvyGdZL57,方法4,28,0.2,20.0
6e7d56f652020f046204,Method_5Q4KoXthUuYz3bvrTDFm,方法5,27,0.1929,19.29
03aa0b20dd4af1888eef,Method_5Q4KoXthUuYz3bvrTDFm,方法1,38,0.2375,23.75
03aa0b20dd4af1888eef,Method_BXr9AIsPQhwNvyGdZL57,方法2,32,0.2,20.0
03aa0b20dd4af1888eef,Method_gj1NLb4Jn7URf9K2kQPd,方法3,31,0.1938,19.38
03aa0b20dd4af1888eef,Method_m8vwGkEZc3TSW2xqYUoR,方法4,30,0.1875,18.75
03aa0b20dd4af1888eef,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,29,0.1812,18.12
1b25734414fcc7466153,Method_5Q4KoXthUuYz3bvrTDFm,方法1,40,0.2286,22.86
1b25734414fcc7466153,Method_BXr9AIsPQhwNvyGdZL57,方法2,37,0.2114,21.14
1b25734414fcc7466153,Method_gj1NLb4Jn7URf9K2kQPd,方法3,34,0.1943,19.43
1b25734414fcc7466153,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,34,0.1943,19.43
1b25734414fcc7466153,Method_m8vwGkEZc3TSW2xqYUoR,方法5,30,0.1714,17.14
8777bd09f180d330b147,Method_gj1NLb4Jn7URf9K2kQPd,方法1,29,0.2417,24.17
8777bd09f180d330b147,Method_BXr9AIsPQhwNvyGdZL57,方法2,25,0.2083,20.83
8777bd09f180d330b147,Method_5Q4KoXthUuYz3bvrTDFm,方法3,24,0.2,20.0
8777bd09f180d330b147,Method_m8vwGkEZc3TSW2xqYUoR,方法4,22,0.1833,18.33
8777bd09f180d330b147,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,20,0.1667,16.67
8b1fbc97391699e46cef,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,64,0.2302,23.02
8b1fbc97391699e46cef,Method_m8vwGkEZc3TSW2xqYUoR,方法2,57,0.205,20.5
8b1fbc97391699e46cef,Method_5Q4KoXthUuYz3bvrTDFm,方法3,57,0.205,20.5
8b1fbc97391699e46cef,Method_gj1NLb4Jn7URf9K2kQPd,方法4,56,0.2014,20.14
8b1fbc97391699e46cef,Method_BXr9AIsPQhwNvyGdZL57,方法5,44,0.1583,15.83
dc83f9577ae72447a7b1,Method_5Q4KoXthUuYz3bvrTDFm,方法1,35,0.2174,21.74
dc83f9577ae72447a7b1,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,32,0.1988,19.88
dc83f9577ae72447a7b1,Method_m8vwGkEZc3TSW2xqYUoR,方法3,32,0.1988,19.88
dc83f9577ae72447a7b1,Method_BXr9AIsPQhwNvyGdZL57,方法4,31,0.1925,19.25
dc83f9577ae72447a7b1,Method_gj1NLb4Jn7URf9K2kQPd,方法5,31,0.1925,19.25
be503fccbf0ae5532639,Method_BXr9AIsPQhwNvyGdZL57,方法1,23,0.2396,23.96
be503fccbf0ae5532639,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,21,0.2188,21.88
be503fccbf0ae5532639,Method_m8vwGkEZc3TSW2xqYUoR,方法3,20,0.2083,20.83
be503fccbf0ae5532639,Method_gj1NLb4Jn7URf9K2kQPd,方法4,16,0.1667,16.67
be503fccbf0ae5532639,Method_5Q4KoXthUuYz3bvrTDFm,方法5,16,0.1667,16.67
cd6355bf939a47577f6d,Method_5Q4KoXthUuYz3bvrTDFm,方法1,107,0.2357,23.57
cd6355bf939a47577f6d,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,99,0.2181,21.81
cd6355bf939a47577f6d,Method_gj1NLb4Jn7URf9K2kQPd,方法3,85,0.1872,18.72
cd6355bf939a47577f6d,Method_BXr9AIsPQhwNvyGdZL57,方法4,84,0.185,18.5
cd6355bf939a47577f6d,Method_m8vwGkEZc3TSW2xqYUoR,方法5,79,0.174,17.4
fb4411db1aac3cd2544b,Method_5Q4KoXthUuYz3bvrTDFm,方法1,31,0.2818,28.18
fb4411db1aac3cd2544b,Method_gj1NLb4Jn7URf9K2kQPd,方法2,24,0.2182,21.82
fb4411db1aac3cd2544b,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,21,0.1909,19.09
fb4411db1aac3cd2544b,Method_m8vwGkEZc3TSW2xqYUoR,方法4,21,0.1909,19.09
fb4411db1aac3cd2544b,Method_BXr9AIsPQhwNvyGdZL57,方法5,13,0.1182,11.82
f06c3ddb1a98713eeb32,Method_gj1NLb4Jn7URf9K2kQPd,方法1,49,0.2882,28.82
f06c3ddb1a98713eeb32,Method_5Q4KoXthUuYz3bvrTDFm,方法2,40,0.2353,23.53
f06c3ddb1a98713eeb32,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,34,0.2,20.0
f06c3ddb1a98713eeb32,Method_BXr9AIsPQhwNvyGdZL57,方法4,24,0.1412,14.12
f06c3ddb1a98713eeb32,Method_m8vwGkEZc3TSW2xqYUoR,方法5,23,0.1353,13.53
bca2be7a89b9b36b45cc,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,40,0.2581,25.81
bca2be7a89b9b36b45cc,Method_5Q4KoXthUuYz3bvrTDFm,方法2,36,0.2323,23.23
bca2be7a89b9b36b45cc,Method_m8vwGkEZc3TSW2xqYUoR,方法3,30,0.1935,19.35
bca2be7a89b9b36b45cc,Method_gj1NLb4Jn7URf9K2kQPd,方法4,28,0.1806,18.06
bca2be7a89b9b36b45cc,Method_BXr9AIsPQhwNvyGdZL57,方法5,21,0.1355,13.55
f058870b1bc33e288e82,Method_gj1NLb4Jn7URf9K2kQPd,方法1,25,0.2273,22.73
f058870b1bc33e288e82,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,23,0.2091,20.91
f058870b1bc33e288e82,Method_5Q4KoXthUuYz3bvrTDFm,方法3,21,0.1909,19.09
f058870b1bc33e288e82,Method_m8vwGkEZc3TSW2xqYUoR,方法4,21,0.1909,19.09
f058870b1bc33e288e82,Method_BXr9AIsPQhwNvyGdZL57,方法5,20,0.1818,18.18
a1fa76b5d99a411d6649,Method_gj1NLb4Jn7URf9K2kQPd,方法1,30,0.2727,27.27
a1fa76b5d99a411d6649,Method_BXr9AIsPQhwNvyGdZL57,方法2,22,0.2,20.0
a1fa76b5d99a411d6649,Method_5Q4KoXthUuYz3bvrTDFm,方法3,22,0.2,20.0
a1fa76b5d99a411d6649,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,19,0.1727,17.27
a1fa76b5d99a411d6649,Method_m8vwGkEZc3TSW2xqYUoR,方法5,17,0.1545,15.45
79ea7a2f63285f2fe26b,Method_5Q4KoXthUuYz3bvrTDFm,方法1,34,0.2615,26.15
79ea7a2f63285f2fe26b,Method_BXr9AIsPQhwNvyGdZL57,方法2,31,0.2385,23.85
79ea7a2f63285f2fe26b,Method_m8vwGkEZc3TSW2xqYUoR,方法3,26,0.2,20.0
79ea7a2f63285f2fe26b,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,21,0.1615,16.15
79ea7a2f63285f2fe26b,Method_gj1NLb4Jn7URf9K2kQPd,方法5,18,0.1385,13.85
54826f4abf592713d585,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,25,0.2315,23.15
54826f4abf592713d585,Method_5Q4KoXthUuYz3bvrTDFm,方法2,25,0.2315,23.15
54826f4abf592713d585,Method_BXr9AIsPQhwNvyGdZL57,方法3,22,0.2037,20.37
54826f4abf592713d585,Method_m8vwGkEZc3TSW2xqYUoR,方法4,20,0.1852,18.52
54826f4abf592713d585,Method_gj1NLb4Jn7URf9K2kQPd,方法5,16,0.1481,14.81
e716574233e87591ff19,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,34,0.2252,22.52
e716574233e87591ff19,Method_BXr9AIsPQhwNvyGdZL57,方法2,32,0.2119,21.19
e716574233e87591ff19,Method_gj1NLb4Jn7URf9K2kQPd,方法3,31,0.2053,20.53
e716574233e87591ff19,Method_m8vwGkEZc3TSW2xqYUoR,方法4,29,0.1921,19.21
e716574233e87591ff19,Method_5Q4KoXthUuYz3bvrTDFm,方法5,25,0.1656,16.56
bab3d23935ae4f8e798c,Method_m8vwGkEZc3TSW2xqYUoR,方法1,85,0.2185,21.85
bab3d23935ae4f8e798c,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,83,0.2134,21.34
bab3d23935ae4f8e798c,Method_BXr9AIsPQhwNvyGdZL57,方法3,83,0.2134,21.34
bab3d23935ae4f8e798c,Method_5Q4KoXthUuYz3bvrTDFm,方法4,70,0.1799,17.99
bab3d23935ae4f8e798c,Method_gj1NLb4Jn7URf9K2kQPd,方法5,68,0.1748,17.48
d2403aa287eb869a170a,Method_m8vwGkEZc3TSW2xqYUoR,方法1,64,0.2319,23.19
d2403aa287eb869a170a,Method_gj1NLb4Jn7URf9K2kQPd,方法2,58,0.2101,21.01
d2403aa287eb869a170a,Method_BXr9AIsPQhwNvyGdZL57,方法3,57,0.2065,20.65
d2403aa287eb869a170a,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,55,0.1993,19.93
d2403aa287eb869a170a,Method_5Q4KoXthUuYz3bvrTDFm,方法5,42,0.1522,15.22
ce1a32f22b91f4d81015,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,33,0.2426,24.26
ce1a32f22b91f4d81015,Method_BXr9AIsPQhwNvyGdZL57,方法2,27,0.1985,19.85
ce1a32f22b91f4d81015,Method_m8vwGkEZc3TSW2xqYUoR,方法3,27,0.1985,19.85
ce1a32f22b91f4d81015,Method_gj1NLb4Jn7URf9K2kQPd,方法4,25,0.1838,18.38
ce1a32f22b91f4d81015,Method_5Q4KoXthUuYz3bvrTDFm,方法5,24,0.1765,17.65
d0a933a514028d777578,Method_BXr9AIsPQhwNvyGdZL57,方法1,30,0.283,28.3
d0a933a514028d777578,Method_m8vwGkEZc3TSW2xqYUoR,方法2,26,0.2453,24.53
d0a933a514028d777578,Method_5Q4KoXthUuYz3bvrTDFm,方法3,19,0.1792,17.92
d0a933a514028d777578,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,18,0.1698,16.98
d0a933a514028d777578,Method_gj1NLb4Jn7URf9K2kQPd,方法5,13,0.1226,12.26
81c4c46f19cb21d54bbb,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,25,0.2809,28.09
81c4c46f19cb21d54bbb,Method_gj1NLb4Jn7URf9K2kQPd,方法2,21,0.236,23.6
81c4c46f19cb21d54bbb,Method_5Q4KoXthUuYz3bvrTDFm,方法3,17,0.191,19.1
81c4c46f19cb21d54bbb,Method_m8vwGkEZc3TSW2xqYUoR,方法4,13,0.1461,14.61
81c4c46f19cb21d54bbb,Method_BXr9AIsPQhwNvyGdZL57,方法5,13,0.1461,14.61
876aca2b8ce1958ea773,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,71,0.2119,21.19
876aca2b8ce1958ea773,Method_BXr9AIsPQhwNvyGdZL57,方法2,71,0.2119,21.19
876aca2b8ce1958ea773,Method_gj1NLb4Jn7URf9K2kQPd,方法3,70,0.209,20.9
876aca2b8ce1958ea773,Method_m8vwGkEZc3TSW2xqYUoR,方法4,64,0.191,19.1
876aca2b8ce1958ea773,Method_5Q4KoXthUuYz3bvrTDFm,方法5,59,0.1761,17.61
c57c5ca2df494f27ca64,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,32,0.252,25.2
c57c5ca2df494f27ca64,Method_gj1NLb4Jn7URf9K2kQPd,方法2,28,0.2205,22.05
c57c5ca2df494f27ca64,Method_m8vwGkEZc3TSW2xqYUoR,方法3,25,0.1969,19.69
c57c5ca2df494f27ca64,Method_BXr9AIsPQhwNvyGdZL57,方法4,21,0.1654,16.54
c57c5ca2df494f27ca64,Method_5Q4KoXthUuYz3bvrTDFm,方法5,21,0.1654,16.54
64d1d58d40bca568347c,Method_5Q4KoXthUuYz3bvrTDFm,方法1,28,0.2333,23.33
64d1d58d40bca568347c,Method_m8vwGkEZc3TSW2xqYUoR,方法2,28,0.2333,23.33
64d1d58d40bca568347c,Method_gj1NLb4Jn7URf9K2kQPd,方法3,24,0.2,20.0
64d1d58d40bca568347c,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,22,0.1833,18.33
64d1d58d40bca568347c,Method_BXr9AIsPQhwNvyGdZL57,方法5,18,0.15,15.0
75c2677c8d156032e303,Method_gj1NLb4Jn7URf9K2kQPd,方法1,74,0.2379,23.79
75c2677c8d156032e303,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,65,0.209,20.9
75c2677c8d156032e303,Method_5Q4KoXthUuYz3bvrTDFm,方法3,61,0.1961,19.61
75c2677c8d156032e303,Method_BXr9AIsPQhwNvyGdZL57,方法4,56,0.1801,18.01
75c2677c8d156032e303,Method_m8vwGkEZc3TSW2xqYUoR,方法5,55,0.1768,17.68
b345ecad87a7fbac77ce,Method_BXr9AIsPQhwNvyGdZL57,方法1,56,0.2276,22.76
b345ecad87a7fbac77ce,Method_m8vwGkEZc3TSW2xqYUoR,方法2,50,0.2033,20.33
b345ecad87a7fbac77ce,Method_gj1NLb4Jn7URf9K2kQPd,方法3,50,0.2033,20.33
b345ecad87a7fbac77ce,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,48,0.1951,19.51
b345ecad87a7fbac77ce,Method_5Q4KoXthUuYz3bvrTDFm,方法5,42,0.1707,17.07
360820d6620d17d1b48b,Method_gj1NLb4Jn7URf9K2kQPd,方法1,48,0.2424,24.24
360820d6620d17d1b48b,Method_5Q4KoXthUuYz3bvrTDFm,方法2,45,0.2273,22.73
360820d6620d17d1b48b,Method_BXr9AIsPQhwNvyGdZL57,方法3,40,0.202,20.2
360820d6620d17d1b48b,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,33,0.1667,16.67
360820d6620d17d1b48b,Method_m8vwGkEZc3TSW2xqYUoR,方法5,32,0.1616,16.16
7086b49d3d6c2cf79c1a,Method_BXr9AIsPQhwNvyGdZL57,方法1,25,0.2551,25.51
7086b49d3d6c2cf79c1a,Method_5Q4KoXthUuYz3bvrTDFm,方法2,22,0.2245,22.45
7086b49d3d6c2cf79c1a,Method_gj1NLb4Jn7URf9K2kQPd,方法3,20,0.2041,20.41
7086b49d3d6c2cf79c1a,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,16,0.1633,16.33
7086b49d3d6c2cf79c1a,Method_m8vwGkEZc3TSW2xqYUoR,方法5,15,0.1531,15.31
cac3f85073c947532796,Method_gj1NLb4Jn7URf9K2kQPd,方法1,51,0.2452,24.52
cac3f85073c947532796,Method_5Q4KoXthUuYz3bvrTDFm,方法2,51,0.2452,24.52
cac3f85073c947532796,Method_m8vwGkEZc3TSW2xqYUoR,方法3,47,0.226,22.6
cac3f85073c947532796,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,33,0.1587,15.87
cac3f85073c947532796,Method_BXr9AIsPQhwNvyGdZL57,方法5,26,0.125,12.5
e37bbe9fe37f92b785d9,Method_m8vwGkEZc3TSW2xqYUoR,方法1,44,0.2391,23.91
e37bbe9fe37f92b785d9,Method_5Q4KoXthUuYz3bvrTDFm,方法2,42,0.2283,22.83
e37bbe9fe37f92b785d9,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,38,0.2065,20.65
e37bbe9fe37f92b785d9,Method_gj1NLb4Jn7URf9K2kQPd,方法4,30,0.163,16.3
e37bbe9fe37f92b785d9,Method_BXr9AIsPQhwNvyGdZL57,方法5,30,0.163,16.3
0a8736f6520cea837d94,Method_m8vwGkEZc3TSW2xqYUoR,方法1,53,0.2431,24.31
0a8736f6520cea837d94,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,43,0.1972,19.72
0a8736f6520cea837d94,Method_5Q4KoXthUuYz3bvrTDFm,方法3,41,0.1881,18.81
0a8736f6520cea837d94,Method_gj1NLb4Jn7URf9K2kQPd,方法4,41,0.1881,18.81
0a8736f6520cea837d94,Method_BXr9AIsPQhwNvyGdZL57,方法5,40,0.1835,18.35
37ae91c472189108a737,Method_5Q4KoXthUuYz3bvrTDFm,方法1,19,0.2405,24.05
37ae91c472189108a737,Method_BXr9AIsPQhwNvyGdZL57,方法2,19,0.2405,24.05
37ae91c472189108a737,Method_m8vwGkEZc3TSW2xqYUoR,方法3,17,0.2152,21.52
37ae91c472189108a737,Method_gj1NLb4Jn7URf9K2kQPd,方法4,13,0.1646,16.46
37ae91c472189108a737,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,11,0.1392,13.92
488934d01a504bc212b4,Method_gj1NLb4Jn7URf9K2kQPd,方法1,21,0.2625,26.25
488934d01a504bc212b4,Method_5Q4KoXthUuYz3bvrTDFm,方法2,18,0.225,22.5
488934d01a504bc212b4,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法3,15,0.1875,18.75
488934d01a504bc212b4,Method_m8vwGkEZc3TSW2xqYUoR,方法4,14,0.175,17.5
488934d01a504bc212b4,Method_BXr9AIsPQhwNvyGdZL57,方法5,12,0.15,15.0
545eb6c8154273344669,Method_BXr9AIsPQhwNvyGdZL57,方法1,31,0.2246,22.46
545eb6c8154273344669,Method_gj1NLb4Jn7URf9K2kQPd,方法2,31,0.2246,22.46
545eb6c8154273344669,Method_5Q4KoXthUuYz3bvrTDFm,方法3,26,0.1884,18.84
545eb6c8154273344669,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,26,0.1884,18.84
545eb6c8154273344669,Method_m8vwGkEZc3TSW2xqYUoR,方法5,24,0.1739,17.39
22ae866c664a147f9971,Method_m8vwGkEZc3TSW2xqYUoR,方法1,20,0.2532,25.32
22ae866c664a147f9971,Method_gj1NLb4Jn7URf9K2kQPd,方法2,18,0.2278,22.78
22ae866c664a147f9971,Method_5Q4KoXthUuYz3bvrTDFm,方法3,17,0.2152,21.52
22ae866c664a147f9971,Method_BXr9AIsPQhwNvyGdZL57,方法4,13,0.1646,16.46
22ae866c664a147f9971,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,11,0.1392,13.92
86215294b080f19af22f,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,36,0.2416,24.16
86215294b080f19af22f,Method_gj1NLb4Jn7URf9K2kQPd,方法2,32,0.2148,21.48
